id,area,cocaine_low,cocaine_medium,cocaine_high,crack_low,crack_medium,crack_high,heroine_low,heroine_medium,heroine_high,prescriptions_low,prescriptions_medium,prescriptions_high,stimulants_low,stimulants_medium,stimulants_high,meth_low,meth_medium,meth_high,
A85,South Parkdale,0.004795972,0.005612474,0.013786804,0.000667384,0.000927569,0.002589365,0.000566429,0.000270305,0.002996102,0.007286003,0.014655132,0.040020362,0.000892459,0.003071106,0.01115229,6.97674E-05,0.000426363,0.006928862,
A24,Black Creek,0.001301167,0.002713029,0.004915891,0.00017188,0.000213726,0.001747168,0.000250731,9.20986E-05,0.000817766,0.005155917,0.006504077,0.027508006,0.000345292,0.000993457,0.004638621,8.87779E-05,0.000179948,0.004043513,
A62,East End-Danforth,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A138,Eglinton East,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A122,Birchcliffe-Cliffside,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A69,Blake-Jones,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A14,Islington-City Centre West,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A38,Lansing-Westgate,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A121,Oakridge,0.001301167,0.002713029,0.004915891,0.00017188,0.000213726,0.001747168,0.000250731,9.20986E-05,0.000817766,0.005155917,0.006504077,0.027508006,0.000345292,0.000993457,0.004638621,8.87779E-05,0.000179948,0.004043513,
A60,Woodbine-Lumsden,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A86,Roncesvalles,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A104,Mount Pleasant West,0.007313818,0.010488272,0.007857197,0.000826948,0.001732761,0.001004318,0.001769942,0.004867829,0.005404421,0.012491106,0.022076021,0.046927327,0.007628291,0.005003506,0.013457216,0.000810493,0.000628699,0.003913189,
A94,Wychwood,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A41,Bridle Path-Sunnybrook-York Mills,0.003373003,0.001768062,0.014979678,0.000872835,0.000361938,0.004583346,2.2507E-10,0.000201328,0.004066632,0.00400136,0.005798821,0.019141575,2.02646E-09,0.000788697,0.00738491,2.39589E-10,0.000219768,0.003299603,
A11,Eringate-Centennial-West Deane,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A134,Highland Creek,0.001843522,0.001042775,0.005989917,0.000736801,0.000219396,0.001933093,1.78367E-10,0.000221629,0.002105098,0.00378316,0.004948089,0.015103293,1.99827E-09,0.000741962,0.00579254,2.97628E-10,0.000149773,0.001923229,
A66,Danforth,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A17,Mimico,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A43,Victoria Village,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A26,Downsview-Roding-CFB,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A98,Rosedale-Moore Park,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
A35,Westminster-Branson,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A30,Brookhaven-Amesbury,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A79,University,0.009605588,0.010423651,0.007215195,0.00073932,0.000487877,0.001050699,0.000781841,0.0014682,0.005346523,0.013417227,0.020057633,0.036632403,0.009771221,0.007721632,0.013014179,0.001045047,0.000442093,0.00235551,
A54,O'Connor-Parkview,0.002301071,0.00308273,0.004770248,0.000313193,0.000894258,0.000774564,0.000547174,0.000421244,0.001425011,0.007377944,0.01269963,0.028577277,0.0012273,0.001614377,0.006864078,0.000174514,0.000238563,0.00293647,
A1,West Humber-Clairville,0.002089888,0.004283998,0.010637586,0.000113194,0.000560771,0.002938049,0.00038565,0.000118437,0.001451495,0.005840606,0.007740898,0.031550845,0.000488336,0.000590088,0.004640442,0.000143903,0.000216787,0.005044102,
A88,High Park North,0.003022106,0.003063737,0.004380477,0.000280005,0.000251788,0.000810335,0.000241705,0.000127053,0.001409745,0.007924962,0.011538516,0.022307989,0.001572071,0.002491379,0.0066381,0.000225018,0.000167754,0.001767582,
